,DAY,MDWP,SWP,Dpsi,source,d_pred,Species
1,27.96788991,-1.10738255,-0.348993289,0.758389262,0,0.97925821,Allocasuarina luehmannii
2,70.06422018,-1.536912752,-0.375838926,1.161073826,0,0.992460079,Allocasuarina luehmannii
3,13.80733945,-1.510067114,-0.402684564,1.10738255,0,1.004595901,Allocasuarina luehmannii
4,84.12844037,-1.456375839,-0.402684564,1.053691275,0,1.004595901,Allocasuarina luehmannii
5,63.03211009,-1.295302013,-0.429530201,0.865771812,0,1.015533833,Allocasuarina luehmannii
6,55.90366972,-1.268456376,-0.483221477,0.785234899,0,1.033833609,Allocasuarina luehmannii
7,41.93577982,-1.496644295,-0.510067114,0.986577181,0,1.04134275,Allocasuarina luehmannii
8,0.995412844,-1.496644295,-0.657718121,0.838926174,0,1.066891852,Allocasuarina luehmannii
9,41.93577982,-3.765100671,-2.255033557,1.510067114,0,0.935413929,Allocasuarina luehmannii
10,62.93577982,-3.845637584,-3.194630872,0.651006711,0,0.66677901,Allocasuarina luehmannii
11,0,-1.601357082,-0.489795918,1.111561164,1,1.474224675,Pseudotzuga menziesii
12,31,-1.752841391,-1.004081633,0.748759758,1,1.558650112,Pseudotzuga menziesii
13,304,-1.854961832,-0.422915361,1.432046472,1,1.462166973,Pseudotzuga menziesii
14,334,-2.239694656,-0.505626959,1.734067697,1,1.477045333,Pseudotzuga menziesii
15,365,-2.253435115,-0.501442006,1.751993108,1,1.476300923,Pseudotzuga menziesii
16,396,-2.294656489,-1.167695925,1.126960564,1,1.581395375,Pseudotzuga menziesii
17,0,-1.47769296,-0.416326531,1.06136643,1,1.460966582,Pseudotzuga menziesii
18,31,-1.944868533,-0.795918367,1.148950165,1,1.526490611,Pseudotzuga menziesii
19,304,-1.703816794,-0.410407524,1.29340927,1,1.45988629,Pseudotzuga menziesii
20,334,-1.909923664,-0.393902821,1.516020843,1,1.456863974,Pseudotzuga menziesii
21,365,-1.923664122,-0.402131661,1.521532461,1,1.458372709,Pseudotzuga menziesii
22,396,-2.21221374,-0.522131661,1.690082079,1,1.479972541,Pseudotzuga menziesii
23,0,-2.178117048,-0.575510204,1.602606844,1,1.489346334,Pseudotzuga menziesii
24,31,-2.453265479,-0.673469388,1.779796091,1,1.506183276,Pseudotzuga menziesii
25,304,-2.706870229,-0.385673981,2.321196248,1,1.455351346,Pseudotzuga menziesii
26,334,-2.858015267,-0.46838558,2.389629687,1,1.470389668,Pseudotzuga menziesii
27,365,-2.844274809,-0.451786834,2.392487975,1,1.467400365,Pseudotzuga menziesii
28,396,-2.912977099,-0.609028213,2.303948886,1,1.495160582,Pseudotzuga menziesii
29,9.096468939,-0.636363636,-0.113861386,0.52250225,0,0.537147881,Glycine max
30,11.02611058,-0.848484848,-0.180693069,0.667791779,0,0.545751677,Glycine max
31,14.07690791,-1.196969697,-0.767326733,0.429642964,0,0.580479222,Glycine max
32,16.01620959,-1.613636364,-1.22029703,0.393339334,0,0.530459066,Glycine max
33,17.99217997,-2.234848485,-1.792079208,0.442769277,0,0.386824769,Glycine max
34,21.00512573,-2.78030303,-2.304455446,0.475847585,0,0.251858189,Glycine max
35,0,-1.44,-0.95,0.49,1,0.851286955,Olea europaea var. Meski
36,92,-1.93,-1.19,0.74,1,0.854801105,Olea europaea var. Meski
37,184,-1.75,-0.69,1.06,1,0.845438622,Olea europaea var. Meski
38,275,-1.45,-0.75,0.7,1,0.846957657,Olea europaea var. Meski
39,365,-1.25,-0.92,0.33,1,0.850718394,Olea europaea var. Meski
40,457,-1.84,-1.08,0.76,1,0.853421764,Olea europaea var. Meski
41,549,-1.78,-0.91,0.87,1,0.850522497,Olea europaea var. Meski
42,640,-1.42,-0.75,0.67,1,0.846957657,Olea europaea var. Meski
43,NA,NA,-0.085470085,0.984593609,0,1.082993351,Quercus coccifera
44,NA,NA,-0.564102564,0.913604442,0,1.125616092,Quercus coccifera
45,NA,NA,-2.068376068,1.226740704,0,1.061479022,Quercus coccifera
46,NA,NA,-2.94017094,1.900593391,0,0.875639636,Quercus coccifera
47,NA,NA,-4.239316239,1.416734716,0,0.513386418,Quercus coccifera
48,NA,NA,-5.555555556,1.017692852,0,0.255999128,Quercus coccifera
49,NA,NA,-6.803418803,1.043714955,0,0.123648409,Quercus coccifera
50,NA,NA,-0.427350427,0.506832163,0,0.668713813,Quercus suber
51,NA,NA,-1.743589744,0.906091785,0,0.736265454,Quercus suber
52,NA,NA,-2.837606838,0.321628831,0,0.716603404,Quercus suber
53,NA,NA,-4.102564103,0.755185367,0,0.579763375,Quercus suber
54,NA,NA,-4.735042735,0.683216288,0,0.483469659,Quercus suber
55,NA,NA,-6.700854701,0.280037019,0,0.230914768,Quercus suber
56,1.01532567,-0.754716981,-0.110091743,0.644625238,0,0.775090831,Eucalyptus pilularis
57,2.011494253,-0.952830189,-0.220183486,0.732646702,0,0.80789471,Eucalyptus pilularis
58,3.007662835,-1.490566038,-0.550458716,0.940107322,0,0.879560932,Eucalyptus pilularis
59,4.003831418,-1.867924528,-1,0.867924528,0,0.865121088,Eucalyptus pilularis
60,5,-2.169811321,-1.495412844,0.674398477,0,0.67170791,Eucalyptus pilularis
61,5.996168582,-2.433962264,-1.908256881,0.525705383,0,0.466555039,Eucalyptus pilularis
62,7.011494253,-2.462264151,-2.146788991,0.31547516,0,0.360021427,Eucalyptus pilularis
63,8.007662835,-2.528301887,-2.19266055,0.335641336,0,0.34119297,Eucalyptus pilularis
64,9.003831418,-2.716981132,-2.28440367,0.432577462,0,0.305305196,Eucalyptus pilularis
65,13.58237548,-0.981132075,-0.23853211,0.742599965,0,0.80774938,Eucalyptus populnea
66,14.348659,-1,-0.275229358,0.724770642,0,0.810367449,Eucalyptus populnea
67,15.07662835,-1.132075472,-0.366972477,0.765102995,0,0.816765521,Eucalyptus populnea
68,15.84291188,-1.462264151,-0.798165138,0.664099013,0,0.843630496,Eucalyptus populnea
69,16.59003831,-2.150943396,-1.302752294,0.848191103,0,0.866333335,Eucalyptus populnea
70,17.35632184,-3.037735849,-2.091743119,0.94599273,0,0.871616022,Eucalyptus populnea
71,18.10344828,-3.537735849,-2.541284404,0.996451445,0,0.851732236,Eucalyptus populnea
72,18.83141762,-3.79245283,-2.871559633,0.920893197,0,0.828383631,Eucalyptus populnea
100,NA,NA,-0.085470085,0.967608471,0,0.931669446,Quercus ilex
101,NA,NA,-1.658119658,0.804725352,0,0.982419112,Quercus ilex
102,NA,NA,-2.564102564,1.121672383,0,0.885760119,Quercus ilex
103,NA,NA,-3.538461538,0.656867549,0,0.710515248,Quercus ilex
104,NA,NA,-4.239316239,0.924165714,0,0.577569174,Quercus ilex
105,NA,NA,-6.717948718,-0.450432794,0,0.239315808,Quercus ilex
