Species,Source,Drydown days,Predawn LWP (MPa),A (umol m-2 s-1),gC (mol m-2 s-1),ca (ppm),D (unitless - Pa / Pa(atm)),T (deg C),C3 / C4,Ht of seedlings,Iabs in measurement chamber (liCor) (umol m-2 s-1),Iabs growth in growth chamber (umol m-2 s-1),Iabs_measurement Comments,Iabs_growth Comment
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.39,21.72,0.184,400,0.008,20,3,0.38,1200,1200,"Iabs growth = natural light + artificial source, min 460","Iabs growth = natural light + artificial source, min 460"
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.44,20.96,0.2154,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.51,19.28,0.1918,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.64,14.82,0.1046,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.56,17.51,0.1808,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.65,13.81,0.0818,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.36,17.68,0.1698,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.73,15.74,0.1667,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.73,20.62,0.2241,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.43,19.53,0.2044,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.52,22.48,0.2248,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.52,15.99,0.0904,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.43,22.31,0.2366,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.4,19.44,0.1879,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.67,13.89,0.0826,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.79,9.51,0.0597,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.48,19.19,0.2005,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.75,16.84,0.1313,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.71,18.35,0.2146,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.41,18.52,0.1714,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-0.92,11.95,0.0904,400,0.008,20,3,0.38,1200,1200,,
Allocasuarina luehmannii,Bosch & Bennett (2009),28,-2.26,5.81,0.0377,400,0.008,20,3,0.38,1200,1200,,
