Species,K scalar,P50,b,alpha,gamma,yxp50,H,inst,dpsi_cal,P88,D_exp_std,D_exp,PgS88,PgS50,pg12,pgL88,pgL50,pgL12,P50 (stem),Ref,P50X,Pmin,P12,Slope,Pgs90,Ptlp,Pclose,b (Cavit),b (SC),dpsi_int,psil_slope,A/G,E/D,SLA_nopetiole,SLA_wpetiole,SLA1,SLA,Ref,Ref2,Ref-SLA
Allocasuarina luehmannii,0.7457324,-1.039539,1,0.118514,1.227068,,1,1,1,,,,,-1.400151,-0.572784,-3.775085,-2.473078,-1.620183,,,,,,,,,,,,,,Angiosperm,E,5.435663854,5.003270425,5.435663852,4.637051829,,,
Helianthus annuus,15.09,-0.35,1.4,0.028,4.9977,,1,1,0,,,,,-0.328786,-0.06935814,-1.195715,-0.6384384,-0.3297493,-3,https://onlinelibrary.wiley.com/doi/abs/10.1111/ppl.12654,-3.05,,-1.87,42.25,-1.75,-1.50875,-1.629375,,,,,Herb,,11.55011541,21.348,,19.08548511,"martin-st-paul, 2017, ecol lett",,
Cedrus atlantica,0.1664226,-1.19743,1,0.1071518,0.09946104,,1,1,0,,,,,-1.365553,-0.2757101,-4.879726,-2.968647,-1.718796,-4.4,https://academic.oup.com/treephys/article/25/9/1109/1687525,-4.98,-3.4,-4.11,28.8,-4.22,,,5.71,3.8,,,Gymnosperm,E,,,,8.166981308,"martin-st-paul, 2017, ecol lett",gs90 from manzoni2014water resources,
Pseudotzuga menziesii,0.1955437,-1.217934,1,0.1016257,0.1088807,,1,1,1,,,,,-1.415404,-0.2889557,-5.061287,-3.021965,-1.713552,-4.83,https://academic.oup.com/treephys/article/23/1/43/1728264,-4.82,,-2.7,34,,-2.97,-2.97,,,,,Gymnosperm,E,,,,7.5,"martin-st-paul, 2017, ecol lett",,Bansal2015 GCB
Glycine max,2.28796167,-0.57647487,1,0.08192545,4.99770001,,1,1,1,,,,,-0.6412264,-0.1258832,-2.070915,-1.22295,-0.6642166,,,,,,,,,,,,,,Herb,,33.35297786,,,30.7,,,
Olea europaea var. Meski,1.382749,-2.178708,1,0.107091,1.300148117,,1,1,0,,,,,-2.438808,-0.7299687,-6.046375,-3.275093,-1.580042,-2.1,https://academic.oup.com/treephys/article/35/7/694/1621321,-7.95,,,,-3.59,-3.5,,,1.1,,,Angiosperm,E,7.559497306,,4.882793638,5.775814582,"manzoni2014, tlp form martin-st-paul, 2017, ecol lett",dpsi_int: martinez_vitalta,
Olea europaea var. Chemlali,1.952892,-0.9261233,1,0.06796796,1.300148117,,1,1,0,,,,,-1.228809,-0.3106317,-3.887305,-2.496427,-1.39779,-2.1,https://academic.oup.com/treephys/article/35/7/694/1621321,-9.73,,,,-2.07,-3.5,-3.5,,1.71,,,Angiosperm,E,7.559497306,,4.882793638,5.775814582,"martin-st-paul, 2017, ecol lett",,
Quercus coccifera,0.9112574,-1.077999,1,0.08659253,0.9193225,,1,1,1,,,,,-1.148792,-0.2252504,-3.881012,-2.271311,-1.302179,,,-6.87,,,,-4.98,,,4.54,8.52,,,Angiosperm,E,8.979661461,,5.361075974,4.925099761,manzoni 2014,,
Quercus suber,2.952689,-1.543682,1,0.1035372,1.862091,,1,1,1,,,,,-1.860296,-0.3790041,-4.899376,-2.581788,-1.020987,,,-5.2,,-3.7,63.3,-3,-2.8,-2.9,,,,,Angiosperm,E,9.516703512,10.91073442,6.077531095,10.77982355,"martin-st-paul, 2017, ecol lett",,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,4.532069,-0.4322849,1,0.09744805,1.300148117,,1,0,0,,,,,-0.4719634,-0.09085727,-1.872076,-1.194051,-0.7549744,,,-0.493092146,,,,,,,,,,,M. Angiosperm,D,28.08255424,,,29.16,TRY,,liu2011
Eucalyptus pilularis,1.713627,-0.3641234,1,0.1014122,1.127484,,1,1,1,,,,,-0.3959762,-0.0747577,-1.965348,-1.24727,-0.8377531,,,,,,,,,,,,,,Angiosperm,E,,1.106142022,,7.7,,,Alcorn 2013
Eucalyptus populnea,0.9362808,-1.7535,1,0.10204,1.965599,,1,1,1,,,,,-1.986817,-0.4085931,-5.26353,-2.853412,-1.217086,,,,,,,,,,,,,,Angiosperm,E,,5.548407885,4.56,5.383673238,,,
Ficus tikoua,4.306088,-0.5731552,1,0.1197278,0.2808714,,1,0,0,,,,,-0.6288681,-0.1204203,-2.417343,-1.504247,-0.923719,,,-4.81,,-4.08,82.4,-2.7,-2.8,-2.75,4.6,2.02,,,Shrub,E,,,,,"martin-st-paul, 2017, ecol lett",,
Cinnamomum bodinieri H. Leveille,3.196132,-0.6073584,1,0.1115471,1.300148117,,1,0,0,,,,,-0.6384881,-0.1273712,-2.034687,-1.288695,-0.7608079,,,,,,,,,,,,,,Angiosperm,,,,,20.67,,,liu2011
Platycarya longipes Wu,1.541075,-0.8723336,1,0.09413239,1.300148117,,1,0,0,,,,,-0.85369,-0.1736918,-2.623777,-1.673785,-1.023841,,,-1.5,,,,,,,,,,,M. Angiosperm,,13.69868001,,,24.72,bartlett 2019,,liu2011
Pteroceltis tatarinowii Maximowicz,1.855923,-0.9131726,1,0.1114891,1.300148117,,1,0,0,,,,,-0.8843154,-0.1812626,-2.513664,-1.540721,-0.8648508,,,-0.96,,,,,,,,,,,M. Angiosperm,,,,,23.6,bartlett 2019,,liu2011
Rosa cymosa Trattinnick,0.7893261,-1.381207,1,0.08091747,0.7425031,,1,0,0,,,,,-1.284619,-0.2589419,-3.89505,-2.323024,-1.369345,,,,,,,,,,,,,,Shrub,,16.62667116,,,16.15,,,liu2011
Quercus ilex,1.315152,-1.693066,1,0.1092963,0.6993242,,1,1,1,,,,,-1.814605,-0.384612,-4.791884,-2.780533,-1.327043,,,-6.9,-4.07,-4.3,20.4,-3.2,-3.15,-3.175,,,,,Angiosperm,E,5.141677538,8.283223123,5.373047632,6.890658774,"martin-st-paul, 2017, ecol lett",,
